item_id,item_name,category,description,maturity,market_pain_score,artifact_clarity_score,proofability_score,strategic_fit_score,revenue_potential_score,weighted_total,revenue_class,time_to_revenue,status,notes
A1,founder_mode,software,AI executive assistant / Morning Briefing platform. 103 service modules 7700+ tests 14 CI workflows. v0.3.0-dev.,beta,6.5,7.0,6.0,8.0,6.0,6.67,strategic_asset,6_months,active,Core platform but not directly monetizable yet. Underpins foundermode-app and consulting credibility.
A2,foundermode-app,software,iOS voice coaching app. FastAPI + SwiftUI. Body/Mind/Drive/Fuel framework. April 2 TestFlight alpha.,alpha,7.0,6.5,5.0,9.0,7.5,7.03,direct_revenue,30_days,active,Highest strategic priority. April 2 TestFlight deadline. Dan's product. Subscription model potential.
A3,hummbl-governance,software,PyPI-published governance library. 20 modules 476 tests. kill_switch circuit_breaker delegation_tokens compliance_mapper cost_governor. pip install hummbl-governance.,production,8.0,9.0,8.5,9.0,7.0,8.25,direct_revenue,immediate,active,Already on PyPI. Strongest artifact clarity. Enterprise sales anchor. Pairs with consulting.
A4,base120-mcp-server,software,MCP server for Base120 mental models. Runs inside Claude Code. Model lookup search apply.,beta,3.0,7.0,4.0,5.0,2.5,4.10,lead_gen,6_months,active,Niche audience (Claude Code power users). Good demo piece but small TAM.
A5,hummbl-dashboard,software,Professional dashboard HTML. 8 tabs PWA mobile-first. Pipeline CRM health metrics.,production,4.0,8.0,6.0,6.0,3.0,5.20,revenue_enabler,90_days,active,Internal tool. Impressive demo but not standalone product. Enables consulting sales.
A6,peptide-checker,software,Pharma compliance tool (Dan's product). Early stage.,concept,7.5,2.0,2.0,5.0,6.0,4.78,direct_revenue,12_months,backlog,High market pain in pharma but very early. Dan owns. Needs significant build.
A7,swarm-test,software,12-terminal swarm orchestration platform. 15 experiments. tmux dispatch Crucible-aware.,alpha,4.0,5.0,6.5,4.0,3.0,4.45,strategic_asset,12_months,active,Research platform. Impressive engineering but no direct revenue path. Conference talk material.
A8,hummbl-assurance,software,Auth/Auth/Accounting framework (renamed from aaa).,alpha,5.0,4.0,3.5,5.0,3.5,4.25,strategic_asset,6_months,paused,Renamed. Needs maturation. Could complement governance suite.
A9,hummbl-models,software,780-model library of AI/ML model cards and metadata.,beta,3.5,6.0,5.0,4.0,2.0,3.98,lead_gen,6_months,active,Large collection but unclear buyer. Good for SEO/authority. Not directly saleable.
A10,open-brain,software,Cognitive Ledger Protocol + knowledge compiler. Hub-and-spoke architecture. 19 modules.,alpha,5.0,5.5,4.5,5.0,4.0,4.78,strategic_asset,6_months,active,Interesting IP. Multi-agent memory is a real problem. Needs more maturity for market.
A11,arbiter,software,Automated code quality scoring. A-F grades. Runs in CI.,beta,6.0,7.0,7.5,7.0,5.0,6.45,direct_revenue,90_days,active,Clear value prop. CI integration is proven pattern. Could be SaaS or consulting add-on.
B1,readiness-audit,service,AI governance readiness audit. $5-15K. 1 week. Primary sales conversion.,production,8.5,8.0,8.0,9.5,8.5,8.53,direct_revenue,immediate,active,Fastest path to revenue. Clear deliverable. Proven consulting format. Primary conversion tool.
